text,label
I have never been so happy to see someone.,0
Never have I been so happy to see someone.,1
He not only won the match but he came back from a difficult start.,0
Not only did he win the match but he came back from a difficult start.,1
She had barely got back in bed when her alarm went off.,0
Barely had she got back in bed when her alarm went off.,1
They not only arrived late but they talked throughout the film.,0
Not only did they arrive late but they talked throughout the film. ,1
We rarely find such talent.,0
Rarely do we find such talent. ,1
They had never seen so many people in the village.,0
Never had they seen so many people in the village.,1
She has seldom taken a day off work.,0
Seldom has she taken a day off work.,1
A patient can rarely fully recover from such an injury.,0
Rarely can a patient fully recover from such an injury.,1
We hardly hat sat dawn when we were told to evacuate the building.,0
Hardly had we sat down when we were told to evacuate the building.,1
The captain was taken ill no sooner had the game started.,0
No sooner had the game started than the captain was taken ill.,1
I realised my glass was broken only when they refilled it.,0
Only when they refilled my glass did I realise it was broken.,1
They discovered they hadn't been told the truth only later.,0
Only later did they discover they hadn't been told the truth.,1
Children should travel with an adult under no circumstances.,0
Under no circumstances should children travel without an adult.,1
We agreed to this in no way.,0
In no way did we agree to this.,1
People don't realise how hard it is to be a chef.,0
Little do people realise how hard it is to be a chef.,1
She didn't know then that she would become the company director.,0
Little did she know then that she would become the company director.  ,1
" If I had been there, this problem wouldn't have happened.",0
"Had I been there, this problem wouldn't have happened.",1
All the money we had lost was on the table.,0
On the table was all the money we had lost.,1
The knights came round the corner.,0
Round the corner came the knights.,1
The food was so delicious that we ate every last bite.,0
So delicious was the food that we ate every last bite.,1
Not since last summer have we seen such beautiful weather.,1
We haven't seen such beautiful weather since last summer.,0
Only after the guests left did she notice the missing jewelry.,1
She noticed the missing jewelry only after the guests left.,0
Rarely in my career have I encountered such a challenging problem.,1
I have rarely encountered such a challenging problem in my career.,0
Little did he suspect that his friends were planning a surprise party.,1
He didn't suspect that his friends were planning a surprise party.,0
Under no circumstances will I lend you my car again.,1
I will not lend you my car again under any circumstances.,0
Only when the sun sets do the city lights come alive.,1
The city lights come alive only when the sun sets.,0
Seldom do we witness such a spectacular display of fireworks.,1
We seldom witness such a spectacular display of fireworks.,0
No sooner had she finished her speech than the audience erupted into applause.,1
The audience erupted into applause no sooner had she finished her speech.,0
Hardly had we begun the hike when it started to rain.,1
We had hardly begun the hike when it started to rain.,0
Not until she read the letter did she realize the gravity of the situation.,1
She didn't realize the gravity of the situation until she read the letter.,0
Only by studying diligently can you hope to pass the exam.,1
You can hope to pass the exam only by studying diligently.,0
Not until the final chapter did the mystery unravel.,1
The mystery didn't unravel until the final chapter.,0
Rarely do we encounter such kindness from strangers.,1
We rarely encounter such kindness from strangers.,0
Little did they realize the impact of their actions on the environment.,1
They didn't realize the impact of their actions on the environment.,0
Under no circumstances should you ignore your health.,1
You should not ignore your health under any circumstances.,0
Only after hours of practice did she master the piano piece.,1
She mastered the piano piece only after hours of practice.,0
Seldom do we see such a breathtaking sunset.,1
We seldom see such a breathtaking sunset.,0
No sooner had they boarded the plane than it began to snow.,1
It began to snow no sooner had they boarded the plane.,0
Hardly had she finished her meal when the phone rang.,1
She had hardly finished her meal when the phone rang.,0
Not until they reached the summit did they realize the magnitude of their accomplishment.,1
They didn't realize the magnitude of their accomplishment until they reached the summit.,0
Only with hard work can you achieve your goals.,1
You can achieve your goals only with hard work.,0
Rarely do we witness such a powerful performance.,1
We rarely witness such a powerful performance.,0
Little did they know the impact of their decision.,1
They didn't know the impact of their decision.,0
Under no circumstances should you neglect your responsibilities.,1
You should not neglect your responsibilities under any circumstances.,0
Only after extensive research did they understand the complexity of the problem.,1
They understood the complexity of the problem only after extensive research.,0
No sooner had they left the house than it started to rain.,1
It started to rain no sooner had they left the house.,0
Hardly had she finished her sentence when he interrupted her.,1
She had hardly finished her sentence when he interrupted her.,0
Not until they tried the new recipe did they realize its deliciousness.,1
They didn't realize the deliciousness of the new recipe until they tried it.,0
Only by taking risks can you achieve great success.,1
You can achieve great success only by taking risks.,0
Rarely do we encounter such genuine kindness.,1
We rarely encounter such genuine kindness.,0
Only by admitting your mistakes can you truly learn from them.,1
You can truly learn from your mistakes only by admitting them.,0
Rarely do we appreciate the value of solitude until we experience it.,1
We appreciate the value of solitude rarely until we experience it.,0
Little did she expect the outcome of her spontaneous decision.,1
She didn't expect the outcome of her spontaneous decision.,0
Under no circumstances should you compromise your principles.,1
You should not compromise your principles under any circumstances.,0
Only after years of dedication did he achieve mastery in his craft.,1
He achieved mastery in his craft only after years of dedication.,0
